pervote_chanc,pervote_partner,topic,salience_chanc,salience_partner,salience_gov,salience_seat,salience_perc,salience_diff,lp,next_election,election,election_date,start_date,total_seats,maj_size,party_chanc,party_partner,seats_chanc,seats_partner,rile_chanc,rile_partner,left_right_chanc,left_right_partner,ideo_chanc,ideo_partner,ideo_gov,left_right_gov,left_right_seat,left_right_perc,rile_diff,bundesratmaj,time,gov,n_laws,europe,mip_share,account_balance_perc_delta,account_balance_perc
33.8,14.563,2,0.10028818443804,0.087901234567901207,0.0940947095029708,9.68183460708026,0.0965582431407917,0.0123869498701391,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,25,0.33826031852429733,9.366149787234043,0.19378804308570988,6.389846057867095
33.8,14.563,2420,0.022478386167147,0.0316049382716049,0.027041662219376,2.5034920340986098,0.0252265609763445,0.00912655210445797,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,58,0.2790523379273015,2.4715731914893615,0.19378804308570988,6.389846057867095
33.8,14.563,25,0.00576368876080692,0,0.00288184438040346,0.414916148744835,0.0040281347334796,0.00576368876080692,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,0,0,0.27151936170212765,0.19378804308570988,6.389846057867095
33.8,14.563,3,0.0634005763688761,0.0617283950617284,0.0625644857153022,6.29321641352474,0.0628970514350219,0.00167218130714769,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,25,0.36639136180166665,1.7714017021276596,0.19378804308570988,6.389846057867095
33.8,14.563,4,0.0426512968299712,0.0246913580246914,0.0336713274273313,3.7620350116443997,0.0372432247744475,0.0179599388052798,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,19,0.6260718371082132,0.5383334042553192,0.19378804308570988,6.389846057867095
33.8,14.563,5,0.0484149855907781,0.0330864197530864,0.0407507026719323,4.41211403410633,0.0437992689418046,0.0153285658376917,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,17,0.40059036867547504,22.962030212765956,0.19378804308570988,6.389846057867095
33.8,14.563,6,0.0668587896253602,0.108148148148148,0.0875034688867542,7.8424784633249605,0.0792917844389028,0.0412893585227879,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,11,0.30809562777647886,4.061535106382979,0.19378804308570988,6.389846057867095
33.8,14.563,721,0.0685878962536023,0.0582716049382716,0.0634297505959369,6.5698091758645205,0.0654814688106157,0.0103162913153307,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,22,0.72232042189489,1.9867482978723405,0.19378804308570988,6.389846057867095
33.8,14.563,8,0.0449567723342939,0.0493827160493827,0.0471697441918383,4.61965698207495,0.0462895064145379,0.00442594371508877,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,25,0.4047014929718525,3.2355872340425536,0.19378804308570988,6.389846057867095
35.17,34.247,1,0.246896551724138,0.172595520421607,0.209746036072873,21.0077737105473,0.2102400062235,0.0743010313025305,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,54,0.26486376497537206,19.246250444444446,0.32246264074292014,6.039795359024832
