n_laws,topic,salience_seat,time,europe,mip_share,account_balance_perc,rile_diff,salience_diff
65,1,10.1658545806666,8,0.32476940389914255,26.827764468085107,6.389846057867095,4.452,0.0321443056889743
40,10,3.3332857526809097,8,0.5689023925904254,0.4942031914893617,6.389846057867095,4.452,0.0126900772049667
84,12,9.017837600803471,8,0.3392430107833439,3.3745529787234045,6.389846057867095,4.452,0.038148503931405
22,13,6.417830142214711,8,0.2530784818018861,5.248794042553191,6.389846057867095,4.452,0.0336400185007294
5,14,3.43004808217822,8,0.278419452887538,0.07416212765957446,6.389846057867095,4.452,0.0277539402995695
61,15,6.805072354740769,8,0.6771648441398672,0.004033829787234043,6.389846057867095,4.452,0.0248308250613726
16,16,2.82163813756467,8,0.23479005507456402,0.6268914893617021,6.389846057867095,4.452,0.0163688760806916
9,17,3.36101369937001,8,0.2524770546516479,0.00072191489361702135,6.389846057867095,4.452,0.00476037997651831
9,18,1.1341684380815,8,0.2183342972816657,0.16083617021276594,6.389846057867095,4.452,0.00139467036681254
36,19,7.41369834123558,8,0.33803736030671344,9.811238723404255,6.389846057867095,4.452,0.0383278186928523
25,2,9.68183460708026,8,0.33826031852429733,9.366149787234043,6.389846057867095,4.452,0.0123869498701391
58,2420,2.5034920340986098,8,0.2790523379273015,2.4715731914893615,6.389846057867095,4.452,0.00912655210445797
0,25,0.414916148744835,8,0,0.27151936170212765,6.389846057867095,4.452,0.00576368876080692
25,3,6.29321641352474,8,0.36639136180166665,1.7714017021276596,6.389846057867095,4.452,0.00167218130714769
19,4,3.7620350116443997,8,0.6260718371082132,0.5383334042553192,6.389846057867095,4.452,0.0179599388052798
17,5,4.41211403410633,8,0.40059036867547504,22.962030212765956,6.389846057867095,4.452,0.0153285658376917
11,6,7.8424784633249605,8,0.30809562777647886,4.061535106382979,6.389846057867095,4.452,0.0412893585227879
22,721,6.5698091758645205,8,0.72232042189489,1.9867482978723405,6.389846057867095,4.452,0.0103162913153307
25,8,4.61965698207495,8,0.4047014929718525,3.2355872340425536,6.389846057867095,4.452,0.00442594371508877
54,1,21.0077737105473,7,0.26486376497537206,19.246250444444446,6.039795359024832,27.765,0.0743010313025305
41,10,2.81937440370724,7,0.5795281579139309,0.10259555555555555,6.039795359024832,27.765,0.00679296715278724
88,12,3.46796082478241,7,0.4262608131817779,3.1935226666666665,6.039795359024832,27.765,0.0226650311208032
28,13,8.87131758795927,7,0.09523479910576685,3.520627777777778,6.039795359024832,27.765,0.0147998727908773
8,14,0.596178371853035,7,0.21134199134199133,0.016464,6.039795359024832,27.765,0.00646404070691927
69,15,5.42393494811036,7,0.6209103960991591,0.07025888888888888,6.039795359024832,27.765,0.063119349416201
11,16,1.42256712552814,7,0.15632011466794074,0.3288208888888889,6.039795359024832,27.765,0.00469401662804961
14,17,2.96712358106661,7,0.3800848117024588,0.2623066666666667,6.039795359024832,27.765,0.00135932033983008
16,18,2.4448197978932598,7,0.14352170367822242,0.7604122222222223,6.039795359024832,27.765,0.011899504793058
34,19,8.87561089585078,7,0.4664900857153368,7.263306666666667,6.039795359024832,27.765,0.0121030393893962
25,2,5.65681039350455,7,0.30508939014202174,6.422956888888889,6.039795359024832,27.765,0.0445686247785198
73,2420,3.9541414357756195,7,0.21237193896055925,0.9985655555555556,6.039795359024832,27.765,0.0287601653718595
0,25,0.204450534473023,7,0,0.34111755555555556,6.039795359024832,27.765,0.00144109763300168
20,3,4.51168003660507,7,0.3732875015483711,2.689464666666667,6.039795359024832,27.765,0.00197537594838944
28,4,1.97492406394205,7,0.5093364197530864,0.11140511111111111,6.039795359024832,27.765,0.0130316659851892
42,5,12.5694887945638,7,0.2673678329492283,47.092796222222226,6.039795359024832,27.765,0.0198428058697924
8,6,6.579428629840919,7,0.09752340252340252,2.4053377777777776,6.039795359024832,27.765,0.0576202807687066
38,721,2.55822251212056,7,0.629859120887753,1.6895128888888888,6.039795359024832,27.765,0.00152287492617328
14,8,4.094192351876011,7,0.47575078516254987,0.13822377777777778,6.039795359024832,27.765,0.010251238017355
31,1,9.18455203084155,6,0.282302591891633,62.040191891891894,3.4177223431914974,17.533,0.0611389198992379
33,10,2.74563379840339,6,0.41236691236691236,0.06489972972972972,3.4177223431914974,17.533,0.00127899556703435
57,12,7.2215488105887005,6,0.3927468216666823,1.1024881081081082,3.4177223431914974,17.533,0.0236522561307727
17,13,8.59009361860357,6,0.09266095363656339,4.553931081081081,3.4177223431914974,17.533,0.031864488770538
5,14,2.52113021930656,6,0.13963963963963963,0.02097918918918919,3.4177223431914974,17.533,0.00823559538114022
39,15,5.98612761555703,6,0.6697447447447448,0.004511351351351351,3.4177223431914974,17.533,0.0153685609879783
16,16,2.30895428127086,6,0.13762993762993764,0.01452135135135135,3.4177223431914974,17.533,0.00743347459393494
6,17,5.237022256901961,6,0.40025740025740025,0,3.4177223431914974,17.533,0.0350409054115897
21,18,1.3935258451366899,6,0.18438015323443577,0,3.4177223431914974,17.533,0.00682237857444217
17,19,8.71597606921137,6,0.4338994661806713,2.4629608108108108,3.4177223431914974,17.533,0.0411546141643262
10,2,8.857806742067991,6,0.30045669176103956,6.387068108108108,3.4177223431914974,17.533,0.067383185147893
38,2420,4.85441402770012,6,0.1887454022183341,1.9965005405405405,3.4177223431914974,17.533,0.0269876310317674
4,25,0.6905991020377801,6,0,0.1460181081081081,3.4177223431914974,17.533,0.00174716658046884
17,3,5.12542197735267,6,0.353989703989704,2.0413967567567566,3.4177223431914974,17.533,0.0137629451346633
21,4,1.9846894311865302,6,0.6719402329158427,0.029327837837837836,3.4177223431914974,17.533,0.0224002880488584
17,5,10.195632524276201,6,0.25759110937838053,16.25329864864865,3.4177223431914974,17.533,0.0488963853258163
8,6,8.69856194946451,6,0.021235521235521235,0.8653635135135135,3.4177223431914974,17.533,0.0111596027967492
22,721,3.71611078746693,6,0.5574598553321958,0.14401540540540542,3.4177223431914974,17.533,0.0783874944284443
8,8,1.9721989126256199,6,0.544356120826709,0.07164378378378378,3.4177223431914974,17.533,0.0217053610161968
63,1,14.794845951408101,5,0.38786507705190304,66.36501787234043,-0.5098806047209902,14.653,0.0482301993301433
47,10,1.17230362740559,5,0.19754969948748868,0.1502668085106383,-0.5098806047209902,14.653,0.0289836547044479
71,12,8.921763461732949,5,0.3903629274602529,2.9774129787234043,-0.5098806047209902,14.653,0.0227920853271082
32,13,10.6730126394881,5,0.10072002445326568,3.1226402127659574,-0.5098806047209902,14.653,0.0369139937387077
7,14,3.63627832984151,5,0.019250253292806482,0.07178085106382978,-0.5098806047209902,14.653,0.00415669241250847
42,15,5.58006936341133,5,0.6575666459674696,0.020830851063829786,-0.5098806047209902,14.653,0.0112787617894178
14,16,2.30631265575932,5,0.09246448170102738,0.7446697872340425,-0.5098806047209902,14.653,0.0266221128461507
10,17,3.3949463828831896,5,0.3208922219968637,0.035481702127659574,-0.5098806047209902,14.653,0.0218714842637042
23,18,1.23001810538504,5,0.20905863704340497,0,-0.5098806047209902,14.653,0.00244761956408528
28,19,4.786543569559369,5,0.4849651687515993,5.59506,-0.5098806047209902,14.653,0.0517434608918855
19,2,6.09708936471397,5,0.37514185221645635,10.911382765957446,-0.5098806047209902,14.653,0.0837411264645046
55,2420,6.1671430194429995,5,0.16082465013267366,1.7830961702127661,-0.5098806047209902,14.653,0.0252534773241196
9,25,0.318193724463692,5,0,1.020341914893617,-0.5098806047209902,14.653,0.0019561158640351
29,3,3.22312293185057,5,0.20480269818895563,0.6669414893617022,-0.5098806047209902,14.653,0.0083172583217774
27,4,0.89529559015555,5,0.6432729042321852,2.5275391489361705,-0.5098806047209902,14.653,0.0157836385218392
25,5,14.517314212406,5,0.2720860753361056,0.3858078723404255,-0.5098806047209902,14.653,0.0686022099590184
7,6,6.08923383843357,5,0.03650992311818344,0.7229812765957447,-0.5098806047209902,14.653,0.0238387902294918
25,721,3.94554766746945,5,0.2880617489480071,1.4802546808510637,-0.5098806047209902,14.653,0.0399456505365654
13,8,2.25096556418965,5,0.3530663329161452,0.18395297872340427,-0.5098806047209902,14.653,0.00829229578709885
40,1,9.01906625128946,4,0.20070966590264835,77.408288,-0.7782487919473136,25.155,0.0115851274747983
67,10,4.78428170180839,4,0.16856368563685636,0.14309244444444444,-0.7782487919473136,25.155,0.031666247800955
69,12,11.7557993861713,4,0.3608363006392001,2.4321817777777777,-0.7782487919473136,25.155,0.0496128982714808
24,13,10.0092184236056,4,0.06283524904214559,4.152586222222222,-0.7782487919473136,25.155,0.0536584429365279
12,14,5.07454120692777,4,0.06322751322751323,0.4973537777777778,-0.7782487919473136,25.155,0.0173742006646003
30,15,4.67751086655577,4,0.598714125380792,0.009694666666666666,-0.7782487919473136,25.155,0.019892630755913
19,16,3.27085140536202,4,0.017094017094017096,0.03722933333333333,-0.7782487919473136,25.155,0.0270116025802128
15,17,2.6850443690568,4,0.2229727398205659,0.0021199999999999995,-0.7782487919473136,25.155,0.0195592834603893
61,18,2.58413427581803,4,0.18072384990032048,0,-0.7782487919473136,25.155,0.0140494540783558
27,19,9.551421846414101,4,0.5258537397967683,2.136508222222222,-0.7782487919473136,25.155,0.0182765072184524
16,2,8.88506300305342,4,0.3042846768336964,7.499826888888889,-0.7782487919473136,25.155,0.0125450280640027
41,2420,4.04953320425882,4,0.08491121109239294,0.043146444444444446,-0.7782487919473136,25.155,0.0221702130630253
9,25,2.63304698150137,4,0,0.8952891111111111,-0.7782487919473136,25.155,0.0280256066571724
26,3,2.0154687967155,4,0.20207825065510074,0.5060784444444444,-0.7782487919473136,25.155,0.0235542151852783
26,4,3.60592554950636,4,0.563039361091118,0.02980266666666667,-0.7782487919473136,25.155,0.0187774007986373
22,5,4.6652166665806805,4,0.3171732026143791,0.5227348888888889,-0.7782487919473136,25.155,0.0317901622406523
12,6,3.62848717988403,4,0.10135076252723312,0.06195133333333333,-0.7782487919473136,25.155,0.0354342939320321
26,721,4.31798036956976,4,0.2936435883804305,2.086138,-0.7782487919473136,25.155,0.0328844489123454
10,8,2.78740851592071,4,0.32773892773892777,0.10552800000000001,-0.7782487919473136,25.155,0.0168261846918545
33,1,11.012481854488799,9,0.1976412767280296,8.7595812,8.008745640915079,26.132,0.01044012205992
27,10,3.2195051672643795,9,0.43413696715583505,0.638642,8.008745640915079,26.132,0.0244960730416129
37,12,4.9024016251362195,9,0.3137629816494455,2.53631,8.008745640915079,26.132,0.0157866280978248
12,13,8.84029974486662,9,0.15219907407407407,4.2329944,8.008745640915079,26.132,0.0241911723943764
4,14,4.45425398023703,9,0.2222222222222222,0.2631564,8.008745640915079,26.132,0.0036802971893704
33,15,7.66867122887058,9,0.4256025581154006,0.5392932,8.008745640915079,26.132,0.0154997910231519
8,16,1.7957650522628,9,0.059895833333333336,0.3650924,8.008745640915079,26.132,0.00834287899711045
2,17,5.22430867608221,9,0.19449404761904762,0,8.008745640915079,26.132,0.0521417479683152
0,18,1.88999977882752,9,0,0.2428544,8.008745640915079,26.132,0.0154057358694589
19,19,7.36135382491898,9,0.22189324609714686,10.3971924,8.008745640915079,26.132,0.0398550927751316
25,2,7.96333412142713,9,0.3903153153153153,43.9877348,8.008745640915079,26.132,0.00795669227333798
24,2420,3.8450549902309903,9,0.2241799645390071,0.6185632,8.008745640915079,26.132,0.0138746923742448
1,25,0.319102167180826,9,0,0.3966868,8.008745640915079,26.132,0.00309541116739886
11,3,4.48608589799235,9,0.20917417711598746,1.1013532,8.008745640915079,26.132,0.0352457673623634
13,4,2.6159376344232097,9,0.5680607769423559,0.0959248,8.008745640915079,26.132,0.0126388948581729
15,5,6.01830248728671,9,0.22980288129744653,10.3039592,8.008745640915079,26.132,0.0152587357617004
3,6,9.88973188774131,9,0.06875,3.059374,8.008745640915079,26.132,0.0106441158535256
14,721,3.85736160235971,9,0.29927248677248675,0.7802472,8.008745640915079,26.132,0.015458057941712
11,8,4.34349447107857,9,0.45552884615384615,1.7252108,8.008745640915079,26.132,0.0105699929178338
42,1,6.2514286383633095,3,0.15982280487543646,47.528352444444444,-1.2808514336573216,11.76,0.00892440892440892
51,10,3.88619755453926,3,0.16915519931905235,0.2887748888888889,-1.2808514336573216,11.76,0.00386280386280386
41,12,3.95564653102341,3,0.15381368957839547,2.481297777777778,-1.2808514336573216,11.76,0.0313519813519814
17,13,5.574772798390891,3,0,3.8702917777777777,-1.2808514336573216,11.76,0.031018981018981
14,14,6.16465193098359,3,0.02130204738900391,2.416262222222222,-1.2808514336573216,11.76,0.0252913752913753
