month,n_laws,salience_seat,clp,time,elec_cycle_12,gov_pop_l1,europe,account_balance_perc_l1,bundesratmaj,rile_diff,salience_diff,topic
1998-01-01,0,8.88506300305342,9,184,last_months,-1.5027110766847405,0.29411764705882354,-0.5192578235361545,0,25.155,0.012545028064002678,2
1998-01-01,0,4.665216666580683,12,184,last_months,-1.5027110766847405,0.3235294117647059,-0.5192578235361545,0,25.155,0.03179016224065231,5
1998-01-01,0,2.584134275818035,25,184,last_months,-1.5027110766847405,0.20270270270270271,-0.5192578235361545,0,25.155,0.01404945407835581,18
1998-01-01,0,2.685044369056805,6,184,last_months,-1.5027110766847405,0.17391304347826086,-0.5192578235361545,0,25.155,0.01955928346038927,17
1998-01-01,0,2.0154687967155036,19,184,last_months,-1.5027110766847405,0.16129032258064516,-0.5192578235361545,0,25.155,0.02355421518527827,3
1998-01-01,0,4.317980369569762,10,184,last_months,-1.5027110766847405,0.15384615384615385,-0.5192578235361545,0,25.155,0.03288444891234537,721
1998-01-01,0,3.6284871798840297,5,184,last_months,-1.5027110766847405,0.058823529411764705,-0.5192578235361545,0,25.155,0.035434293932032054,6
1998-01-01,0,2.6330469815013675,8,184,last_months,-1.5027110766847405,0,-0.5192578235361545,0,25.155,0.028025606657172377,25
1998-02-01,0,11.755799386171338,25,185,last_months,-1.368724279835391,0.3950617283950617,-0.5192578235361545,0,25.155,0.049612898271480826,12
1998-02-01,0,4.04953320425882,27,185,last_months,-1.368724279835391,0.08771929824561403,-0.5192578235361545,0,25.155,0.02217021306302533,2420
1998-02-01,0,9.019066251289455,27,185,last_months,-1.368724279835391,0.2698412698412698,-0.5192578235361545,0,25.155,0.011585127474798257,1
1998-02-01,1,4.677510866555772,2,185,last_months,-1.368724279835391,0.6222222222222222,-0.5192578235361545,0,25.155,0.019892630755912986,15
1998-02-01,0,9.551421846414105,9,185,last_months,-1.368724279835391,0.5,-0.5192578235361545,0,25.155,0.018276507218452434,19
1998-02-01,0,3.605925549506364,9,185,last_months,-1.368724279835391,0.5625,-0.5192578235361545,0,25.155,0.018777400798637288,4
1998-02-01,0,10.009218423605649,17,185,last_months,-1.368724279835391,0.1111111111111111,-0.5192578235361545,0,25.155,0.05365844293652789,13
1998-02-01,0,5.074541206927768,9,185,last_months,-1.368724279835391,0.07142857142857142,-0.5192578235361545,0,25.155,0.017374200664600263,14
1998-02-01,0,3.2708514053620212,10,185,last_months,-1.368724279835391,0.07692307692307693,-0.5192578235361545,0,25.155,0.027011602580212787,16
1998-02-01,0,2.787408515920705,5,185,last_months,-1.368724279835391,0.5,-0.5192578235361545,0,25.155,0.016826184691854457,8
1998-02-01,1,4.7842817018083945,32,185,last_months,-1.368724279835391,0.15853658536585366,-0.5192578235361545,0,25.155,0.03166624780095502,10
1998-02-01,0,8.88506300305342,9,185,last_months,-1.368724279835391,0.29411764705882354,-0.5192578235361545,0,25.155,0.012545028064002678,2
1998-02-01,0,4.665216666580683,12,185,last_months,-1.368724279835391,0.3235294117647059,-0.5192578235361545,0,25.155,0.03179016224065231,5
1998-02-01,1,2.584134275818035,25,185,last_months,-1.368724279835391,0.20270270270270271,-0.5192578235361545,0,25.155,0.01404945407835581,18
1998-02-01,0,2.685044369056805,6,185,last_months,-1.368724279835391,0.17391304347826086,-0.5192578235361545,0,25.155,0.01955928346038927,17
1998-02-01,0,2.0154687967155036,19,185,last_months,-1.368724279835391,0.16129032258064516,-0.5192578235361545,0,25.155,0.02355421518527827,3
1998-02-01,1,4.317980369569762,10,185,last_months,-1.368724279835391,0.15384615384615385,-0.5192578235361545,0,25.155,0.03288444891234537,721
1998-02-01,0,3.6284871798840297,5,185,last_months,-1.368724279835391,0.058823529411764705,-0.5192578235361545,0,25.155,0.035434293932032054,6
1998-02-01,0,2.6330469815013675,8,185,last_months,-1.368724279835391,0,-0.5192578235361545,0,25.155,0.028025606657172377,25
1998-03-01,1,11.755799386171338,25,186,last_months,-1.1662650602409639,0.3950617283950617,-0.5192578235361545,0,25.155,0.049612898271480826,12
1998-03-01,0,4.04953320425882,27,186,last_months,-1.1662650602409639,0.08771929824561403,-0.5192578235361545,0,25.155,0.02217021306302533,2420
1998-03-01,1,9.019066251289455,27,186,last_months,-1.1662650602409639,0.2698412698412698,-0.5192578235361545,0,25.155,0.011585127474798257,1
